# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.15.0
#@/tick	16588
#@/user_id	a97dd0d8-3b8d-40de-b6cd-ee2c5013a0d7
a 	啊	c=3 d=1.17085 t=16588
gan xiang 	感想	c=1 d=0.460704 t=16588
gan zhi 	感知	c=3 d=2.14166 t=16588
gang ca 	刚擦	c=1 d=0.965605 t=16588
gang cai 	刚才	c=1 d=0.687289 t=16588
gang gang 	刚刚	c=2 d=1.50602 t=16588
gang hao 	刚好	c=1 d=0.786628 t=16588
gang ru xue 	刚入学	c=1 d=0.882497 t=16588
gao 	搞	c=2 d=1.65634 t=16588
gao 	高	c=9 d=4.55569 t=16588
gao cheng du 	高程度	c=1 d=0.995012 t=16588
gao deng 	高等	c=4 d=1.84755 t=16588
gao deng shu xue 	高等数学	c=3 d=2.49333 t=16588
gao du 	高度	c=1 d=0.606531 t=16588
gao gao 	搞搞	c=1 d=0.882497 t=16588
gao ji 	高级	c=1 d=0.99005 t=16588
gao ji shu 	高技术	c=1 d=0.88692 t=16588
gao jie 	高阶	c=2 d=1.83062 t=16588
gao qing shang 	高情商	c=2 d=1.50495 t=16588
gao shou 	高手	c=2 d=1.47422 t=16588
gao si 	高斯	c=3 d=2.68888 t=16588
gao si ding li 	高斯定理	c=1 d=0.951229 t=16588
gao su 	告诉	c=1 d=0.798516 t=16588
gao su wo 	告诉我	c=6 d=4.18257 t=16588
gao xin 	高新	c=1 d=0.782705 t=16588
gao xin 	高薪	c=1 d=0.778801 t=16588
gao yuan 	高院	c=0 d=0.0767206 t=16588
gao zhong 	高中	c=4 d=1.94092 t=16588
ge 	个	c=21 d=4.89567 t=16588
ge 	割	c=2 d=1.25025 t=16588
ge 	各	c=3 d=1.50296 t=16588
ge 	哥	c=13 d=6.19404 t=16588
ge 	格	c=2 d=1.52672 t=16588
ge bi 	隔壁	c=1 d=0.421052 t=16588
ge fang 	各方	c=1 d=0.50409 t=16588
ge ge 	各个	c=4 d=2.66892 t=16588
ge lei 	各类	c=1 d=0.995012 t=16588
ge li fei si 	格里菲斯	c=1 d=0.88692 t=16588
ge men 	哥们	c=2 d=1.77964 t=16588
ge ren 	个人	c=9 d=2.69832 t=16588
ge shi 	格式	c=5 d=3.12292 t=16588
ge shi hua 	格式化	c=4 d=2.76682 t=16588
ge xian 	割线	c=1 d=0.66365 t=16588
ge yao 	歌谣	c=4 d=3.7203 t=16588
ge yi duan shi jian 	隔一段时间	c=1 d=0.985112 t=16588
ge yue 	个月	c=1 d=0.865022 t=16588
ge zhe 	隔着	c=1 d=0.559898 t=16588
ge zhong 	各种	c=1 d=0.895834 t=16588
gei 	给	c=3 d=2.81154 t=16588
gei bu chu 	给不出	c=1 d=0.955997 t=16588
gei chu 	给出	c=5 d=3.82623 t=16588
gei ge 	给个	c=1 d=0.965605 t=16588
gei wo 	给我	c=20 d=6.09199 t=16588
gei yi ge 	给一个	c=2 d=1.53319 t=16588
gen 	根	c=2 d=1.29742 t=16588
gen 	跟	c=1 d=0.909373 t=16588
gen ben 	根本	c=2 d=1.45004 t=16588
gen ju 	根据	c=4 d=2.45338 t=16588
gen mu lu 	根目录	c=5 d=2.54261 t=16588
gen sui 	跟随	c=0 d=0.099005 t=16588
gen wo 	跟我	c=2 d=1.49336 t=16588
geng 	更	c=11 d=3.53556 t=16588
geng cha 	更差	c=1 d=0.321422 t=16588
geng duo 	更多	c=1 d=0.802519 t=16588
geng gai 	更改	c=3 d=2.86399 t=16588
geng gao zhi liang 	更高质量	c=1 d=0.860708 t=16588
geng hao 	更好	c=4 d=1.67661 t=16588
geng hao de 	更好的	c=1 d=0.927743 t=16588
geng he kuang 	更何况	c=1 d=0.57695 t=16588
geng huan 	更换	c=3 d=1.99501 t=16588
geng jia 	更加	c=1 d=0.970446 t=16588
geng kuai 	更快	c=1 d=0.571209 t=16588
geng neng 	更能	c=1 d=0.410656 t=16588
geng wei 	更为	c=1 d=0.404542 t=16588
geng xiang 	更像	c=1 d=0.878095 t=16588
geng xin 	更新	c=5 d=3.86589 t=16588
geng xin le 	更新了	c=1 d=0.860708 t=16588
geng xin mi yao 	更新密钥	c=1 d=0.628135 t=16588
geng xin shi jian 	更新时间	c=1 d=0.937067 t=16588
geng yi 	更易	c=0 d=0.0995012 t=16588
geng yi dong 	更易懂	c=1 d=0.458406 t=16588
geng yi du 	更易读	c=1 d=1 t=16588
gong chan dang 	共产党	c=1 d=0.514274 t=16588
gong cheng 	工程	c=17 d=5.86847 t=16588
gong cheng guang xue 	工程光学	c=1 d=0.955997 t=16588
gong gong fu wu 	公共服务	c=1 d=0.771052 t=16588
gong guan 	公关	c=1 d=0.980199 t=16588
gong hao 	功耗	c=4 d=2.33118 t=16588
gong hao mo shi 	功耗模式	c=1 d=0.980199 t=16588
gong ji 	共计	c=1 d=0.878095 t=16588
gong ju 	工具	c=11 d=7.20707 t=16588
gong ju lian 	工具链	c=1 d=0.895834 t=16588
gong ju xiang 	工具箱	c=3 d=2.69768 t=16588
gong kai ke 	公开课	c=1 d=0.726149 t=16588
gong ke 	工科	c=1 d=0.625002 t=16588
gong lv 	功率	c=3 d=1.94726 t=16588
gong neng 	功能	c=19 d=7.18208 t=16588
gong neng ma 	功能吗	c=1 d=0.900325 t=16588
gong neng xing 	功能性	c=1 d=0.733447 t=16588
gong shang 	工商	c=1 d=0.687289 t=16588
gong she ji 	弓射击	c=1 d=0.767206 t=16588
gong sheng 	共生	c=1 d=0.715338 t=16588
gong shi 	公式	c=20 d=7.52509 t=16588
gong shi 	公示	c=2 d=1.60214 t=16588
gong shi li 	公式里	c=1 d=0.970446 t=16588
gong tong 	共同	c=2 d=1.10962 t=16588
gong tong fu yu 	共同富裕	c=1 d=0.677057 t=16588
gong tong ti 	共同体	c=1 d=0.97531 t=16588
gong xian 	贡献	c=3 d=2.32327 t=16588
gong ye 	工业	c=3 d=1.26553 t=16588
gong ye hua 	工业化	c=1 d=0.88692 t=16588
gong yi 	公益	c=1 d=0.869358 t=16588
gong yuan 	公园	c=1 d=0.806541 t=16588
gong zuo 	工作	c=6 d=2.65312 t=16588
gong zuo qu 	工作区	c=4 d=3.35237 t=16588
gong zuo shi 	工作时	c=1 d=0.67368 t=16588
gong zuo wen jian 	工作文件	c=1 d=0.774916 t=16588
gong zuo wu zhi 	工作物质	c=1 d=0.826959 t=16588
gong zuo xia 	工作下	c=2 d=0.997531 t=16588
gou bu dao 	够不到	c=1 d=0.440432 t=16588
gou cao 	沟槽	c=3 d=2.58726 t=16588
gou jian 	构建	c=4 d=2.88513 t=16588
gou jian le 	构建了	c=2 d=1.42107 t=16588
gou le 	够了	c=1 d=0.470011 t=16588
gou wu 	购物	c=0 d=0.0763379 t=16588
gou wu fang mian 	购物方面	c=1 d=0.767206 t=16588
gou zhi 	钩织	c=2 d=1.92774 t=16588
gu 	顾	c=1 d=0.980199 t=16588
gu du 	孤独	c=1 d=1 t=16588
gu ji 	孤寂	c=1 d=0.628135 t=16588
gu jin 	鼓劲	c=2 d=1.76063 t=16588
gu lao 	古老	c=1 d=0.467666 t=16588
gu lao de 	古老的	c=1 d=0.425283 t=16588
gu li 	孤立	c=2 d=1.2048 t=16588
gu li 	鼓励	c=2 d=0.852087 t=16588
gu shi 	故事	c=4 d=1.40793 t=16588
gu shi xing 	故事性	c=2 d=1.31411 t=16588
gu tai ying pan 	固态硬盘	c=2 d=1.86013 t=16588
gu ti 	固体	c=5 d=3.08703 t=16588
gu ti wu li 	固体物理	c=10 d=4.67708 t=16588
gu zhen 	古镇	c=0 d=0.0752014 t=16588
gu zhu yi zhi 	孤注一掷	c=1 d=0.951229 t=16588
gua ji 	挂机	c=1 d=0.985112 t=16588
gua pai 	挂牌	c=1 d=0.843665 t=16588
gua zai 	挂在	c=3 d=2.71457 t=16588
gua zai 	挂载	c=11 d=6.20557 t=16588
gua zhe 	挂着	c=2 d=1.73281 t=16588
guai 	怪	c=3 d=2.54428 t=16588
guai bu de 	怪不得	c=2 d=1.25682 t=16588
guan 	关	c=1 d=0.865022 t=16588
guan 	管	c=1 d=0.873716 t=16588
guan 	馆	c=2 d=0.932394 t=16588
guan bi 	关闭	c=9 d=4.44391 t=16588
guan cha 	观察	c=2 d=0.865022 t=16588
guan che 	贯彻	c=2 d=0.840308 t=16588
guan dian 	观点	c=1 d=0.386741 t=16588
guan diao 	关掉	c=1 d=0.913931 t=16588
guan fang 	官方	c=2 d=1.26745 t=16588
guan fang tu 	官方图	c=1 d=0.980199 t=16588
guan ji 	关机	c=2 d=1.44181 t=16588
guan jian 	关键	c=2 d=1.28411 t=16588
guan jian can shu 	关键参数	c=1 d=0.67032 t=16588
guan jian ci 	关键词	c=2 d=1.84706 t=16588
guan jian wen ti 	关键问题	c=1 d=0.514274 t=16588
guan jie 	关节	c=0 d=0.0980199 t=16588
guan kan 	观看	c=1 d=0.343009 t=16588
guan li 	管理	c=12 d=5.92745 t=16588
guan li qi 	管理器	c=6 d=3.39261 t=16588
guan li yuan 	管理员	c=1 d=0.941765 t=16588
guan lian 	关联	c=3 d=2.4597 t=16588
guan lian du 	关联度	c=1 d=0.847894 t=16588
guan lian qi lai 	关联起来	c=1 d=0.955997 t=16588
guan nei 	馆内	c=2 d=1.46687 t=16588
guan qie 	关切	c=1 d=0.71177 t=16588
guan wai 	馆外	c=1 d=0.860708 t=16588
guan wang 	官网	c=3 d=2.34125 t=16588
guan xi 	关系	c=11 d=5.96058 t=16588
guan yu 	关于	c=1 d=0.516851 t=16588
guan zhu du 	关注度	c=1 d=0.995012 t=16588
guang 	光	c=5 d=2.25904 t=16588
guang 	逛	c=1 d=0.852144 t=16588
guang biao 	光标	c=5 d=3.1779 t=16588
guang bo 	光波	c=1 d=0.810584 t=16588
guang chi guang chi 	逛吃逛吃	c=1 d=0.965605 t=16588
guang de 	光的	c=2 d=1.91297 t=16588
guang de shou ji fu she 	光的受激辐射	c=1 d=0.869358 t=16588
guang dian 	光电	c=7 d=3.23131 t=16588
guang dian 	广电	c=1 d=0.97531 t=16588
guang dian xin xi 	光电信息	c=5 d=2.40983 t=16588
guang dian xin xi gong cheng 	光电信息工程	c=1 d=0.941765 t=16588
guang dian xin xi ke xue 	光电信息科学	c=2 d=1.54488 t=16588
guang dian xin xi ke xue yu gong cheng 	光电信息科学与工程	c=2 d=1.2603 t=16588
guang dian zi 	光电子	c=2 d=1.08672 t=16588
guang du 	光度	c=1 d=1.02163 t=16588
guang du xue 	光度学	c=2 d=1.68401 t=16588
guang fan 	广泛	c=1 d=0.519442 t=16588
guang fu 	光伏	c=2 d=1.38212 t=16588
guang hai 	广海	c=1 d=0.843665 t=16588
guang ji suo 	光机所	c=23 d=9.12528 t=16588
guang kan 	光看	c=1 d=0.856415 t=16588
guang ke 	光科	c=6 d=3.30593 t=16588
guang lu 	光路	c=2 d=0.596425 t=16588
guang neng 	光能	c=0 d=0.0744532 t=16588
guang neng mi du 	光能密度	c=1 d=0.748264 t=16588
guang pu 	光谱	c=1 d=0.614754 t=16588
guang pu xi an 	光谱西安	c=1 d=0.794534 t=16588
guang pu xian 	光谱线	c=3 d=2.59274 t=16588
guang pu xian de xian xing 	光谱线的线型	c=1 d=0.882497 t=16588
guang qiang 	光强	c=11 d=6.95836 t=16588
guang shu 	光束	c=5 d=3.68192 t=16588
guang su 	光速	c=1 d=0.429557 t=16588
guang xian 	光纤	c=1 d=0.778801 t=16588
guang xue 	光学	c=19 d=7.70857 t=16588
guang xue gong cheng 	光学工程	c=27 d=11.6626 t=16588
guang yi quan 	逛一圈	c=1 d=0.782705 t=16588
guang yuan 	光源	c=1 d=0.856415 t=16588
gui bu 	鬼步	c=1 d=0.980199 t=16588
gui dang 	归档	c=1 d=1 t=16588
gui ding 	规定	c=2 d=1.80521 t=16588
gui fan 	规范	c=1 d=0.778801 t=16588
gui hua 	规划	c=19 d=5.16692 t=16588
gui ji 	轨迹	c=2 d=0.883874 t=16588
gui jie yu 	归结于	c=1 d=0.66365 t=16588
gui le 	跪了	c=0 d=0.0588605 t=16588
gui lv 	规律	c=2 d=1.36347 t=16588
gui mo 	规模	c=2 d=1.13197 t=16588
gui yi 	诡异	c=1 d=0.965605 t=16588
gui ze 	规则	c=1 d=0.99005 t=16588
gun dong 	滚动	c=4 d=2.84825 t=16588
guo 	国	c=1 d=0.752014 t=16588
guo 	过	c=8 d=3.49582 t=16588
guo chang 	过长	c=1 d=0.895834 t=16588
guo chang dong hua 	过场动画	c=1 d=1 t=16588
guo cheng 	过程	c=9 d=5.03906 t=16588
guo du 	过度	c=3 d=1.64139 t=16588
guo duo 	过多	c=1 d=0.955997 t=16588
guo fu 	国服	c=3 d=2.8829 t=16588
guo fu zhang hao 	国服账号	c=1 d=1 t=16588
guo ji 	国际	c=4 d=1.74089 t=16588
guo ji chu 	过基础	c=1 d=0.965605 t=16588
guo jia 	国家	c=5 d=1.61881 t=16588
guo jia da ju yuan 	国家大剧院	c=2 d=0.973496 t=16588
guo ke 	国科	c=2 d=1.56737 t=16588
guo le 	过了	c=1 d=0.951229 t=16588
guo min 	国民	c=1 d=0.666977 t=16588
guo qu 	过去	c=2 d=1.62768 t=16588
guo wai 	国外	c=4 d=2.82796 t=16588
guo you 	国有	c=1 d=0.579842 t=16588
guo you qi ye 	国有企业	c=1 d=0.591555 t=16588
guo yu 	过于	c=1 d=0.908604 t=16588
guo yu xian xiao 	过于显小	c=1 d=0.985112 t=16588
ha ha 	哈哈	c=7 d=3.17761 t=16588
ha ha ha 	哈哈哈	c=2 d=1.24478 t=16588
ha ha ha ha ha 	哈哈哈哈哈	c=1 d=1 t=16588
ha ha ha ha ha ha 	哈哈哈哈哈哈	c=1 d=0.960789 t=16588
ha ji 	哈吉	c=0 d=0.0900325 t=16588
ha ji lang 	哈吉朗	c=1 d=0.904837 t=16588
ha qi 	哈气	c=1 d=1 t=16588
hai 	害	c=1 d=0.995012 t=16588
hai 	海	c=2 d=1.69995 t=16588
hai 	还	c=9 d=4.51267 t=16588
hai bu cuo 	还不错	c=1 d=0.261846 t=16588
hai dei 	还得	c=1 d=0.941765 t=16588
hai ke yi 	还可以	c=2 d=1.12859 t=16588
hai ke yi yong 	还可以用	c=1 d=0.744532 t=16588
hai mei 	还没	c=3 d=1.89331 t=16588
hai mei chu lai 	还没出来	c=1 d=0.585669 t=16588
hai mei xia wan 	还没下完	c=1 d=0.740818 t=16588
hai neng 	还能	c=1 d=0.980199 t=16588
hai shi 	还是	c=20 d=6.05809 t=16588
hai shi shuo 	还是说	c=1 d=0.900325 t=16588
hai shi you 	还是有	c=0 d=0.0980199 t=16588
hai xu yao 	还需要	c=1 d=0.865022 t=16588
hai yi 	还以	c=0 d=0.0386741 t=16588
hai yi yong 	还以用	c=1 d=0.38868 t=16588
hai you 	海优	c=1 d=0.88692 t=16588
hai you 	还有	c=10 d=4.33389 t=16588
hai you ping ri li 	还有平日里	c=4 d=3.27927 t=16588
hai you sha 	还有啥	c=1 d=0.985112 t=16588
hai you you 	还有有	c=1 d=0.869358 t=16588
hai zai 	还在	c=4 d=1.55781 t=16588
hai zhen shi 	还真是	c=3 d=1.27397 t=16588
hai zhen you 	还真有	c=1 d=0.960789 t=16588
hai zi men 	孩子们	c=1 d=0.822835 t=16588
han 	涵	c=0 d=0.0970446 t=16588
han jia 	寒假	c=1 d=0.995012 t=16588
han shu 	函数	c=39 d=7.57531 t=16588
hang 	杭	c=5 d=3.76397 t=16588
hang 	行	c=2 d=0.590635 t=16588
hang gao suo 	杭髙所	c=1 d=0.729789 t=16588
hang gao yuan 	杭高院	c=8 d=5.8704 t=16588
hang kong 	航空	c=1 d=0.99005 t=16588
hang shu 	行数	c=2 d=1.81721 t=16588
hang tian 	航天	c=1 d=0.985112 t=16588
hang zhou 	杭州	c=5 d=3.58004 t=16588
hao 	号	c=1 d=0.980199 t=16588
hao 	好	c=24 d=8.52383 t=16588
hao ba 	好吧	c=2 d=1.74252 t=16588
hao bu you yu 	毫不犹豫	c=1 d=0.965605 t=16588
hao chou 	好抽	c=1 d=0.99005 t=16588
hao dai 	好歹	c=1 d=0.985112 t=16588
hao de 	好的	c=9 d=3.10906 t=16588
hao de hao de 	好的好的	c=1 d=0.946485 t=16588
hao di 	好滴	c=1 d=0.980199 t=16588
hao han 	浩瀚	c=0 d=0.066034 t=16588
hao han er 	浩瀚而	c=1 d=0.66365 t=16588
hao hao 	好好	c=1 d=0.740818 t=16588
hao hao hao 	好好好	c=1 d=0.995012 t=16588
hao hao kan 	好好看	c=1 d=0.97531 t=16588
hao hao xue 	好好学	c=1 d=0.941765 t=16588
hao hua ban 	豪华版	c=1 d=0.99005 t=16588
hao ji zhong 	好几种	c=1 d=0.941765 t=16588
hao jiu 	好久	c=2 d=1.60805 t=16588
hao kan 	好看	c=1 d=0.99005 t=16588
hao le 	好了	c=3 d=2.16421 t=16588
hao ma 	号码	c=1 d=0.70822 t=16588
hao mang 	好忙	c=1 d=0.865022 t=16588
hao peng you 	好朋友	c=1 d=0.932394 t=16588
hao shui 	好睡	c=1 d=0.995012 t=16588
hao wan 	豪玩	c=1 d=0.900325 t=16588
hao wu 	毫无	c=1 d=0.790571 t=16588
hao xiang 	好像	c=9 d=3.44042 t=16588
hao ye 	好耶	c=1 d=0.980199 t=16588
hao yi hui 	好一会	c=1 d=0.701173 t=16588
hao you 	好友	c=5 d=1.80714 t=16588
hao zai 	好在	c=1 d=0.588605 t=16588
he 	何	c=1 d=0.92598 t=16588
he 	和	c=160 d=20.6022 t=16588
he chou 	何愁	c=1 d=0.955997 t=16588
he chu 	何处	c=1 d=0.923116 t=16588
he gai 	盒盖	c=1 d=0.965605 t=16588
he ji 	合集	c=1 d=0.97531 t=16588
he jin zhuang bei 	合金装备	c=1 d=0.960789 t=16588
he li 	合理	c=6 d=3.51292 t=16588
he li ma 	合理吗	c=1 d=0.946485 t=16588
he liu 	河流	c=2 d=1.88995 t=16588
he shi 	合适	c=7 d=3.92873 t=16588
he wai dian zi 	核外电子	c=0 d=0.099005 t=16588
he wai dian zi pai bu 	核外电子排布	c=1 d=0.995012 t=16588
he xian 	核显	c=1 d=0.909373 t=16588
he xie 	和谐	c=0 d=0.0729789 t=16588
he xie gong shi 	和谐公式	c=1 d=0.733447 t=16588
he xin 	核心	c=2 d=1.11085 t=16588
he yi wei 	何意味	c=1 d=0.965605 t=16588
he ying ping ren 	和影评人	c=5 d=2.6153 t=16588
he ying ping ren lan de 	和影评人懒得	c=1 d=0.918512 t=16588
he zhao 	合照	c=0 d=0.0831104 t=16588
he zhao tu 	合照图	c=1 d=0.83527 t=16588
he zhong 	何种	c=1 d=0.379083 t=16588
he zi 	赫兹	c=0 d=0.0537944 t=16588
he zuo 	合作	c=2 d=1.3149 t=16588
hei 	黑	c=1 d=0.927743 t=16588
hei an 	黑暗	c=0 d=0.0980199 t=16588
hei an ji hui 	黑暗集会	c=1 d=0.985112 t=16588
hei dong 	黑洞	c=2 d=0.70822 t=16588
hei hei 	嘿嘿	c=1 d=0.826959 t=16588
hei hun 	黑魂	c=1 d=0.99005 t=16588
hei ping 	黑屏	c=8 d=6.12701 t=16588
hei shen hua 	黑神话	c=2 d=1.29825 t=16588
hei shen hua wu kong 	黑神话悟空	c=1 d=0.57695 t=16588
hei ti 	黑体	c=2 d=1.48599 t=16588
hen 	很	c=22 d=4.89164 t=16588
hen 	狠	c=1 d=0.937067 t=16588
hen cai 	很菜	c=1 d=0.67368 t=16588
hen di 	很低	c=1 d=0.71177 t=16588
hen duo 	很多	c=6 d=2.06095 t=16588
hen fang bian 	很方便	c=1 d=0.970446 t=16588
hen gao 	很高	c=1 d=0.852144 t=16588
hen gei li 	很给力	c=1 d=0.918512 t=16588
hen hao 	很好	c=6 d=2.94592 t=16588
hen hao li jie 	很好理解	c=1 d=0.980199 t=16588
hen hao yong 	很好用	c=1 d=0.909373 t=16588
hen ka 	很卡	c=1 d=1 t=16588
hen kuai 	很快	c=1 d=0.255381 t=16588
hen leng jing 	很冷静	c=1 d=0.951229 t=16588
hen man 	很慢	c=2 d=1.55904 t=16588
hen nan 	很难	c=0 d=0.0737123 t=16588
hen nan gai zao 	很难改造	c=1 d=0.740818 t=16588
hen shuang 	很爽	c=0 d=0.0826959 t=16588
hen shuang le 	很爽了	c=1 d=0.831104 t=16588
hen xi huan 	很喜欢	c=1 d=0.603506 t=16588
hen xiang 	很像	c=1 d=0.625002 t=16588
hen xiang wang 	很向往	c=1 d=0.970446 t=16588
hen xiao 	很小	c=1 d=0.816436 t=16588
hen xiao ao 	很小奥	c=1 d=0.955997 t=16588
hen you 	很有	c=1 d=0.33454 t=16588
hen zhong 	很重	c=1 d=0.970446 t=16588
hen zhong yao 	很重要	c=1 d=0.909373 t=16588
heng 	横	c=1 d=0.644036 t=16588
heng 	珩	c=0 d=0.0392586 t=16588
heng mo 	横模	c=1 d=0.970446 t=16588
heng xian 	横线	c=1 d=0.995012 t=16588
heng xiang 	横向	c=1 d=0.932394 t=16588
heng zhe 	横着	c=1 d=0.83527 t=16588
hong dou 	红豆	c=1 d=0.970446 t=16588
hong guan 	宏观	c=1 d=0.985112 t=16588
hong se 	红色	c=3 d=0.990487 t=16588
hong se ge 	红色哥	c=1 d=0.951229 t=16588
hou 	厚	c=1 d=0.472367 t=16588
hou 	后	c=38 d=11.2071 t=16588
hou bei 	后辈	c=1 d=0.56836 t=16588
hou huan wu qiong 	后患无穷	c=1 d=0.524663 t=16588
hou ji ci 	后几次	c=1 d=0.99005 t=16588
hou mian 	后面	c=6 d=3.23166 t=16588
hou mian ren 	后面人	c=1 d=0.364219 t=16588
hou tai 	后台	c=4 d=2.10042 t=16588
hou xu 	后续	c=2 d=0.900325 t=16588
hou yi ge 	后一个	c=2 d=1.9218 t=16588
hou zhong gan 	厚重感	c=1 d=0.755784 t=16588
hou zhui 	后缀	c=1 d=1 t=16588
hou zhui ming 	后缀名	c=1 d=0.927743 t=16588
hu 	糊	c=1 d=1 t=16588
hu huan 	互换	c=4 d=3.11855 t=16588
hu lian 	互联	c=1 d=0.946485 t=16588
hu lian wang 	互联网	c=1 d=0.204948 t=16588
hu lve 	忽略	c=1 d=0.718924 t=16588
hu shi 	忽视	c=1 d=0.873716 t=16588
hu tong 	互通	c=6 d=3.91861 t=16588
hu wai 	户外	c=1 d=0.918512 t=16588
hu yan 	护眼	c=6 d=4.14037 t=16588
hu zuo fei wei 	胡作非为	c=1 d=0.895834 t=16588
hua 	化	c=1 d=0.748264 t=16588
hua 	华	c=1 d=0.618783 t=16588
hua 	画	c=3 d=2.09649 t=16588
hua 	花	c=1 d=0.932394 t=16588
hua 	话	c=5 d=1.67093 t=16588
hua chu 	画出	c=1 d=0.535261 t=16588
hua gan 	滑杆	c=1 d=1 t=16588
hua ke 	华科	c=1 d=0.995012 t=16588
hua li hu shao 	花里胡哨	c=1 d=0.239309 t=16588
hua shao 	花哨	c=2 d=1.5578 t=16588
hua shi 	化石	c=1 d=0.737123 t=16588
hua shi 	画师	c=1 d=0.941765 t=16588
hua tu 	画图	c=2 d=1.38434 t=16588
hua tu ruan jian 	画图软件	c=1 d=0.311923 t=16588
huai 	坏	c=2 d=1.79862 t=16588
huai le 	坏了	c=1 d=0.771052 t=16588
huan 	换	c=3 d=1.59554 t=16588
huan cheng 	换成	c=4 d=2.08623 t=16588
huan cun 	缓存	c=7 d=5.45693 t=16588
huan dan qi 	换蛋期	c=1 d=0.71177 t=16588
huan jie 	环节	c=1 d=0.951229 t=16588
huan jing 	环境	c=13 d=5.51964 t=16588
huan jing bian liang 	环境变量	c=3 d=2.49757 t=16588
huan xiang 	幻想	c=1 d=0.790571 t=16588
huan xing 	唤醒	c=7 d=4.90415 t=16588
huan ye 	换页	c=1 d=0.843665 t=16588
huan ying 	欢迎	c=2 d=1.86112 t=16588
huan yuan 	还原	c=3 d=1.70452 t=16588
huang yuan lang 	荒原狼	c=1 d=0.995012 t=16588
hui 	会	c=62 d=12.4002 t=16588
hui bao 	回报	c=0 d=0.0946485 t=16588
hui bao le 	回报了	c=1 d=0.951229 t=16588
hui bei 	会被	c=2 d=0.572627 t=16588
hui bi 	会比	c=1 d=0.900325 t=16588
hui bi jiao 	会比较	c=1 d=0.759572 t=16588
hui bu hui 	会不会	c=1 d=0.794534 t=16588
hui bu qu 	回不去	c=1 d=0.509156 t=16588
hui chan sheng 	会产生	c=1 d=0.782705 t=16588
hui chu 	会出	c=1 d=0.99005 t=16588
hui chuang jian 	会创建	c=1 d=0.927743 t=16588
hui da 	回答	c=3 d=1.87372 t=16588
hui da bu liao 	回答不了	c=1 d=0.869358 t=16588
hui da yi xia 	回答一下	c=1 d=0.941765 t=16588
hui dao 	会到	c=1 d=0.937067 t=16588
hui dao 	回到	c=1 d=0.985112 t=16588
hui duo 	会多	c=1 d=0.941765 t=16588
hui gu 	回顾	c=1 d=0.814647 t=16588
hui ji 	惠及	c=1 d=0.718924 t=16588
hui ka 	会卡	c=1 d=0.980199 t=16588
hui lai 	回来	c=4 d=3.39535 t=16588
hui shan 	惠山	c=0 d=0.0752014 t=16588
hui shan gu zhen 	惠山古镇	c=1 d=0.755784 t=16588
hui shi 	回事	c=3 d=2.19066 t=16588
hui shou zhan 	回收站	c=2 d=1.88437 t=16588
hui tiao chu 	会跳出	c=1 d=0.748264 t=16588
hui tu 	绘图	c=1 d=0.316637 t=16588
hui tui 	回退	c=1 d=0.860708 t=16588
hui wei 	回味	c=1 d=0.913931 t=16588
hui wo 	回我	c=3 d=2.56137 t=16588
hui ying 	回应	c=2 d=1.12181 t=16588
hui you 	会有	c=9 d=3.37864 t=16588
hui zai 	会在	c=2 d=1.79818 t=16588
hui zuo 	会做	c=1 d=0.790571 t=16588
hun he 	混合	c=3 d=1.87888 t=16588
hun he mo shi 	混合模式	c=1 d=0.918512 t=16588
hun he xian ka 	混合显卡	c=1 d=0.965605 t=16588
huo 	或	c=15 d=5.72253 t=16588
huo 	获	c=1 d=0.203926 t=16588
huo de 	获得	c=4 d=2.48047 t=16588
huo dong 	活动	c=1 d=0.878095 t=16588
huo guo 	火锅	c=2 d=1.91238 t=16588
huo hu 	火狐	c=3 d=2.57009 t=16588
huo li 	活力	c=2 d=1.33357 t=16588
huo li 	火力	c=1 d=0.918512 t=16588
huo qu 	获取	c=1 d=0.814647 t=16588
huo wei 	或为	c=1 d=0.65377 t=16588
huo xu 	或许	c=6 d=1.61426 t=16588
huo yan 	火焰	c=1 d=0.960789 t=16588
huo ying 	火影	c=1 d=0.995012 t=16588
huo zhe 	或者	c=6 d=3.09668 t=16588
ji 	几	c=2 d=1.57053 t=16588
ji 	即	c=5 d=1.66365 t=16588
ji 	及	c=4 d=1.93257 t=16588
ji 	既	c=1 d=0.637628 t=16588
ji 	级	c=2 d=0.949265 t=16588
ji 	记	c=1 d=0.701173 t=16588
ji 	集	c=1 d=0.790571 t=16588
ji bai nian 	几百年	c=1 d=0.873716 t=16588
ji ben 	基本	c=5 d=3.30587 t=16588
ji bie 	级别	c=3 d=1.62851 t=16588
ji bu qi lai 	记不起来	c=1 d=0.995012 t=16588
ji chang 	机场	c=1 d=0.99005 t=16588
ji cheng 	集成	c=1 d=0.937067 t=16588
ji cheng dian lu 	集成电路	c=1 d=0.918512 t=16588
ji chu 	基础	c=6 d=2.40057 t=16588
ji ci 	几次	c=0 d=0.0985112 t=16588
ji da cheng du 	极大程度	c=1 d=0.543351 t=16588
ji de 	记得	c=4 d=2.25644 t=16588
ji dian 	绩点	c=4 d=2.21104 t=16588
ji diao 	挤掉	c=1 d=0.366045 t=16588
ji dun 	几顿	c=1 d=0.600496 t=16588
ji fen 	积分	c=3 d=2.03895 t=16588
ji fen bian huan 	积分变换	c=1 d=0.995012 t=16588
